P,P_dyn,q_target,mixture_name,T_w,R_p,R_m,R_j,barker_type,stag_type,T,T_t,u,P_t,run_time
2000.0,180.0,1896000.0,CO2_8,400,0.004765,0.01016,0.05,0,0,5381.049901480483,5417.85597281297,603.1952521760724,2.18,6.793733830010751
4000.0,3000.0,1379000.0,CO2_8,400,0.004765,0.01016,0.05,0,0,2551.2064894908694,2637.3929651237263,817.4208098587765,7.0,6.939448054996319
1000.0,899.9999999999999,1121000.0,air_11,400,0.004765,0.01016,0.05,2,0,4417.36022992311,4581.628362501458,1104.7777571077766,1.4576186257176817,8.113123871007701
1000.0,180.0,603300.0,CO2_8,400,0.004765,0.01016,0.05,1,0,2670.2982459945,2694.4517373480817,474.18290973078734,1.16785135483749,8.545103160984581
1000.0,180.0,344600.0,air_11,400,0.004765,0.01016,0.05,0,0,2788.634598516189,2829.8806773941906,541.4832460238198,1.18,8.562089229002595
1000.0,180.0,86000.0,air_11,400,0.004765,0.01016,0.05,0,0,1514.9058982788338,1574.2889727277745,383.8540077761088,1.18,9.539609183993889
1000.0,180.0,1638000.0,air_11,400,0.004765,0.01016,0.05,2,0,5693.026937969717,5720.738778046929,628.871449716243,1.0725728513311423,9.684285883995472
1000.0,179.99999999999994,344600.0,air_11,400,0.004765,0.01016,0.05,1,0,2808.4021246413895,2846.9600739393627,523.8718521608901,1.1655698052007653,10.250495212007081
1000.0,180.0,861900.0,air_11,400,0.004765,0.01016,0.05,1,0,4646.174462950412,4700.212703114736,698.5286973740479,1.1522907773562836,13.46899654000299
